Title,Date,Issues,Signatures
Divest or put in a blind trust all of the President's business and financial assets,"Created by H.B. on January 20, 2017",,
Please ask New York state to overturn recent abortion expansion laws.,"Created by A.S. on January 23, 2019",,
Repeal the NFA,"Created by A.Z. on January 20, 2017",,
Do Not Repeal Net Neutrality,"Created by A.L. on November 22, 2017",,
Revoke the U.S. Citizenship and Visas of the Hong Kong and China Officials who are in Support of the Extradition Bill.,"Created by M.W. on June 11, 2019",,
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"Created by Z.Z. on April 11, 2017",,
Stop the landfill of Henoko / Oura Bay until a referendum can be held in Okinawa,"Created by R.K. on December 08, 2018",,
Impeach Nancy Pelosi for crimes of Treason!,"Created by M.G. on January 18, 2019",,
"Make Junius Ho Kwan Yiu and his immediate family members ineligible for U.S. Entry, Citizenship and Visas","Created by B.T. on July 21, 2019",,
Declare George Soros a terrorist and seize all of his related organizations' assets under RICO and NDAA law,"Created by E.B. on August 20, 2017",,
Stop Qatar from yet another dubious act. How can a pro-terrorism nation mediate between United States and Iran?,"Created by Y.K. on June 11, 2019",,
"Yes to regime change in Iran, No to dialog with a pro-terrorism government","Created by A.J. on June 19, 2018",,
Officially recognize Hong Kong Police Force (HKPF) led by Commissioner Stephen LO Wai-chung as a Terrorist Organization,"Created by K.O. on August 05, 2019",,
"Deport Maria Gabriela Chavez, and send her back to Venezuela.","Created by J.P. on March 03, 2019",,
Allow for Cadet Peter Wang to receive a Full Honors Military Burial,"Created by C.K. on February 16, 2018",,
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Created by F.C. on January 20, 2017",,
"The removal of Rashida Tlaib (D-MI) from office, do to inappropriate and unstable actions becoming of a congresswoman.","Created by R.L. on January 04, 2019",,
Please Send Medical Army to Hong Kong. Hong Kong is under a Humanitarian Disaster.,"Created by W.S. on August 10, 2019",,
